"date","geography","geography code","Rural Urban","Living Arrangement: All categories: Living arrangements; measures: Value","Living Arrangement: Living in a couple; measures: Value","Living Arrangement: Living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Living in a couple: Cohabiting; measures: Value","Living Arrangement: Not living in a couple; measures: Value","Living Arrangement: Not living in a couple: Single (never married or never registered a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Living Arrangement: Not living in a couple: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"2011","Lichfield","E07000194","Total",81345,54126,44378,9748,27219,15438,762,1318,4610,5091
"2011","Newcastle-under-Lyme","E07000195","Total",98665,59662,47584,12078,39003,22795,876,1847,6273,7212
"2011","South Staffordshire","E07000196","Total",88569,57806,48542,9264,30763,17842,811,1231,4696,6183
"2011","Stafford","E07000197","Total",105411,67004,54914,12090,38407,22084,1018,1903,6562,6840
"2011","Staffordshire Moorlands","E07000198","Total",79897,51928,42948,8980,27969,15570,627,1291,4533,5948
"2011","Tamworth","E07000199","Total",61101,37931,29542,8389,23170,13749,418,1263,4234,3506
"2011","North Warwickshire","E07000218","Total",50511,32357,25770,6587,18154,10524,453,920,2989,3268
"2011","Nuneaton and Bedworth","E07000219","Total",100413,61565,49185,12380,38848,22472,955,2031,6687,6703
"2011","Rugby","E07000220","Total",79091,50177,39882,10295,28914,16558,845,1710,4937,4864
"2011","Stratford-on-Avon","E07000221","Total",98424,64195,53688,10507,34229,18619,959,1615,6087,6949
"2011","Warwick","E07000222","Total",111014,64613,51720,12893,46401,29497,1214,1944,7001,6745
"2011","Birmingham","E08000025","Total",806895,394826,317370,77456,412069,271446,19130,22339,49544,49610
"2011","Coventry","E08000026","Total",244912,126880,100869,26011,118032,75851,4405,5661,16368,15747
"2011","Dudley","E08000027","Total",251130,153504,123915,29589,97626,57779,2468,4699,14897,17783
"2011","Sandwell","E08000028","Total",239729,131540,104285,27255,108189,65208,4799,6109,14614,17459
"2011","Solihull","E08000029","Total",165913,100098,84510,15588,65815,39325,1592,3227,9812,11859
"2011","Walsall","E08000030","Total",211229,123458,98408,25050,87771,51859,3427,4489,12727,15269
"2011","Wolverhampton","E08000031","Total",196212,103266,82501,20765,92946,57463,3952,4337,13035,14159
"2011","Bromsgrove","E07000234","Total",74470,48865,40954,7911,25605,14447,606,1245,4266,5041
"2011","Malvern Hills","E07000235","Total",60386,39124,32524,6600,21262,11321,580,949,3875,4537
"2011","Redditch","E07000236","Total",67190,41477,32285,9192,25713,15406,639,1431,4646,3591
"2011","Worcester","E07000237","Total",78425,45919,34912,11007,32506,20186,678,1491,5622,4529
"2011","Wychavon","E07000238","Total",95642,63558,52630,10928,32084,17360,831,1482,5759,6652
"2011","Wyre Forest","E07000239","Total",80272,49785,39630,10155,30487,16815,636,1594,5725,5717
"2011","Bedford","E06000055","Total",123054,72909,59664,13245,50145,29805,1913,2687,8252,7488
"2011","Central Bedfordshire","E06000056","Total",202364,130487,105128,25359,71877,41901,1931,4191,12173,11681
"2011","Luton","E06000032","Total",154803,82732,67605,15127,72071,46453,4650,3940,8949,8079
"2011","Peterborough","E06000031","Total",142704,83266,64099,19167,59438,34824,2445,3713,10304,8152
"2011","Southend-on-Sea","E06000033","Total",138473,78699,59502,19197,59774,34655,1693,3304,10879,9243
"2011","Thurrock","E06000034","Total",122795,73736,56606,17130,49059,29807,1803,2930,7662,6857
"2011","Cambridge","E07000008","Total",89749,45921,33750,12171,43828,31199,1685,1398,5322,4224
"2011","East Cambridgeshire","E07000009","Total",66837,45415,36174,9241,21422,12086,688,1134,3576,3938
"2011","Fenland","E07000010","Total",77167,48744,38140,10604,28423,15171,823,1608,5036,5785
"2011","Huntingdonshire","E07000011","Total",134674,88793,71022,17771,45881,26416,1342,2517,8057,7549
"2011","South Cambridgeshire","E07000012","Total",117373,79423,65484,13939,37950,22425,1186,1827,5959,6553
"2011","Basildon","E07000066","Total",138082,81928,65186,16742,56154,32771,1266,3239,9836,9042
"2011","Braintree","E07000067","Total",116494,74635,59746,14889,41859,23888,922,2319,7700,7030
"2011","Brentwood","E07000068","Total",59329,36732,30463,6269,22597,13494,661,1026,3495,3921
"2011","Castle Point","E07000069","Total",72519,45623,38002,7621,26896,15257,655,1291,4251,5442
"2011","Chelmsford","E07000070","Total",134974,85050,69010,16040,49924,30468,1198,2287,8268,7703
"2011","Colchester","E07000071","Total",135447,81535,64658,16877,53912,32831,1365,2546,9478,7692
"2011","Epping Forest","E07000072","Total",100672,60592,49472,11120,40080,23945,1048,1943,6245,6899
"2011","Harlow","E07000073","Total",64675,36854,28286,8568,27821,16063,750,1539,5073,4396
"2011","Maldon","E07000074","Total",50274,33261,27550,5711,17013,9324,449,894,3020,3326
"2011","Rochford","E07000075","Total",67722,44405,37062,7343,23317,13225,648,1064,3674,4706
"2011","Tendring","E07000076","Total",113333,68278,56398,11880,45055,22471,1171,2317,8439,10657
"2011","Uttlesford","E07000077","Total",62387,42070,34622,7448,20317,11694,642,1021,3421,3539
"2011","Broxbourne","E07000095","Total",74542,44404,35620,8784,30138,18516,777,1576,4647,4622
"2011","Dacorum","E07000096","Total",114093,70484,56256,14228,43609,25665,1222,2330,7488,6904
"2011","East Hertfordshire","E07000242","Total",108547,69898,56406,13492,38649,23419,973,1922,6200,6135
"2011","Hertsmere","E07000098","Total",78407,46296,38764,7532,32111,19712,1041,1558,4958,4842
"2011","North Hertfordshire","E07000099","Total",101139,63820,51104,12716,37319,21815,1121,1971,6102,6310
"2011","St Albans","E07000240","Total",109120,70298,58320,11978,38822,24260,1190,1701,5802,5869
"2011","Stevenage","E07000243","Total",66323,38520,30026,8494,27803,16637,743,1603,4864,3956
"2011","Three Rivers","E07000102","Total",68887,42728,35660,7068,26159,15798,828,1211,4061,4261
"2011","Watford","E07000103","Total",70978,39967,31426,8541,31011,20231,1344,1592,4277,3567
"2011","Welwyn Hatfield","E07000241","Total",86752,48675,38886,9789,38077,25048,1122,1702,5033,5172
"2011","Breckland","E07000143","Total",104708,69007,55055,13952,35701,18984,1099,1932,6546,7140
"2011","Broadland","E07000144","Total",101983,68713,56668,12045,33270,17655,735,1578,6089,7213
"2011","Great Yarmouth","E07000145","Total",78721,47242,36175,11067,31479,17296,773,1482,6109,5819
"2011","King's Lynn and West Norfolk","E07000146","Total",120474,78899,63019,15880,41575,21814,1363,1958,7609,8831
"2011","North Norfolk","E07000147","Total",84578,55141,45102,10039,29437,14218,954,1351,5616,7298
"2011","Norwich","E07000148","Total",106075,52908,35646,17262,53167,34721,1181,2285,8877,6103
"2011","South Norfolk","E07000149","Total",100342,68147,55406,12741,32195,17108,880,1669,5905,6633
"2011","Babergh","E07000200","Total",70625,46613,38576,8037,24012,12856,577,1297,4394,4888
"2011","Forest Heath","E07000201","Total",47175,29888,23243,6645,17287,9591,744,909,3318,2725
"2011","Ipswich","E07000202","Total",105327,61043,45030,16013,44284,26969,1302,2399,7469,6145
"2011","Mid Suffolk","E07000203","Total",77472,52911,43864,9047,24561,13473,648,1324,4240,4876
"2011","St Edmundsbury","E07000204","Total",87744,56383,45316,11067,31361,17669,848,1632,5621,5591
"2011","Suffolk Coastal","E07000205","Total",100144,66011,55016,10995,34133,17704,1128,1801,6125,7375
"2011","Waveney","E07000206","Total",93671,58611,46460,12151,35060,18309,816,1649,6778,7508
"2011","Camden","E09000007","Total",177049,72762,49751,23011,104287,75991,5099,4371,11766,7060
"2011","City of London","E09000001","Total",6595,2848,1954,894,3747,2537,371,141,430,268
"2011","Hackney","E09000012","Total",193328,72872,47102,25770,120456,89336,5305,7038,12355,6422
"2011","Hammersmith and Fulham","E09000013","Total",151028,60569,41521,19048,90459,68170,3820,3698,9517,5254
"2011","Haringey","E09000014","Total",201171,86857,61445,25412,114314,80180,6165,6686,13878,7405
"2011","Islington","E09000019","Total",167327,65446,40044,25402,101881,76767,3492,4762,10697,6163
