"date","geography","geography code","Rural Urban","Care Provision: All categories: Provision of unpaid care; measures: Value","Care Provision: Provides no unpaid care; measures: Value","Care Provision: Provides 1 to 19 hours unpaid care a week; measures: Value","Care Provision: Provides 20 to 49 hours unpaid care a week; measures: Value","Care Provision: Provides 50 or more hours unpaid care a week; measures: Value"
"2011","Fareham","E07000087","Total",111581,99702,8382,1198,2299
"2011","Gosport","E07000088","Total",82622,74446,5239,988,1949
"2011","Hart","E07000089","Total",91033,83037,5931,779,1286
"2011","Havant","E07000090","Total",120684,107566,8185,1620,3313
"2011","New Forest","E07000091","Total",176462,155715,14238,2195,4314
"2011","Rushmoor","E07000092","Total",93807,86057,5145,989,1616
"2011","Test Valley","E07000093","Total",116398,104283,8551,1272,2292
"2011","Winchester","E07000094","Total",116595,105023,8613,1025,1934
"2011","Ashford","E07000105","Total",117956,106137,7686,1428,2705
"2011","Canterbury","E07000106","Total",151145,135562,10089,1815,3679
"2011","Dartford","E07000107","Total",97365,88146,5927,1126,2166
"2011","Dover","E07000108","Total",111674,99020,7892,1579,3183
"2011","Gravesham","E07000109","Total",101720,91410,6371,1383,2556
"2011","Maidstone","E07000110","Total",155143,139582,10472,1728,3361
"2011","Sevenoaks","E07000111","Total",114893,102948,8501,1190,2254
"2011","Folkestone and Hythe","E07000112","Total",107969,95663,7465,1663,3178
"2011","Swale","E07000113","Total",135835,121577,8351,1897,4010
"2011","Thanet","E07000114","Total",134186,118684,8925,2190,4387
"2011","Tonbridge and Malling","E07000115","Total",120805,108724,8258,1321,2502
"2011","Tunbridge Wells","E07000116","Total",115049,104510,7527,1112,1900
"2011","Cherwell","E07000177","Total",141868,128514,9216,1452,2686
"2011","Oxford","E07000178","Total",151906,140181,8159,1468,2098
"2011","South Oxfordshire","E07000179","Total",134257,121001,9817,1250,2189
"2011","Vale of White Horse","E07000180","Total",120988,108550,9035,1183,2220
"2011","West Oxfordshire","E07000181","Total",104779,94421,7540,1050,1768
"2011","Elmbridge","E07000207","Total",130875,119244,8653,1100,1878
"2011","Epsom and Ewell","E07000208","Total",75102,67774,5294,818,1216
"2011","Guildford","E07000209","Total",137183,124607,9250,1215,2111
"2011","Mole Valley","E07000210","Total",85375,76464,6731,770,1410
"2011","Reigate and Banstead","E07000211","Total",137835,124730,9401,1423,2281
"2011","Runnymede","E07000212","Total",80510,73108,5208,811,1383
"2011","Spelthorne","E07000213","Total",95598,85754,6701,1150,1993
"2011","Surrey Heath","E07000214","Total",86144,78250,5748,823,1323
"2011","Tandridge","E07000215","Total",82998,74463,6241,852,1442
"2011","Waverley","E07000216","Total",121572,109567,9031,1104,1870
"2011","Woking","E07000217","Total",99198,89996,6662,973,1567
"2011","Adur","E07000223","Total",61182,54233,4472,835,1642
"2011","Arun","E07000224","Total",149518,132964,10771,1976,3807
"2011","Chichester","E07000225","Total",113794,101307,8924,1195,2368
"2011","Crawley","E07000226","Total",106597,96695,6378,1418,2106
"2011","Horsham","E07000227","Total",131301,117659,10133,1233,2276
"2011","Mid Sussex","E07000228","Total",139860,125878,10375,1306,2301
"2011","Worthing","E07000229","Total",104640,93761,7268,1319,2292
"2011","Bath and North East Somerset","E06000022","Total",176016,158431,12396,1989,3200
"2011","Bournemouth","E06000028","Total",183491,166166,11280,2260,3785
"2011","Bristol, City of","E06000023","Total",428234,388096,25709,5253,9176
"2011","Cornwall","E06000052","Total",532273,469081,39052,8284,15856
"2011","Isles of Scilly","E06000053","Total",2203,1983,165,20,35
"2011","North Somerset","E06000024","Total",202566,180253,15172,2577,4564
"2011","Plymouth","E06000026","Total",256384,229137,15624,4057,7566
"2011","Poole","E06000029","Total",147645,131433,10761,1846,3605
"2011","South Gloucestershire","E06000025","Total",262767,235128,19279,2976,5384
"2011","Swindon","E06000030","Total",209156,189676,12431,2680,4369
"2011","Torbay","E06000027","Total",130959,114852,9137,2286,4684
"2011","Wiltshire","E06000054","Total",470981,423373,33064,5066,9478
"2011","East Devon","E07000040","Total",132457,116613,10746,1762,3336
"2011","Exeter","E07000041","Total",117773,106782,7246,1298,2447
"2011","Mid Devon","E07000042","Total",77750,69298,5798,927,1727
"2011","North Devon","E07000043","Total",93667,83324,6634,1260,2449
"2011","South Hams","E07000044","Total",83140,72911,7102,1156,1971
"2011","Teignbridge","E07000045","Total",124220,109201,9873,1767,3379
"2011","Torridge","E07000046","Total",63839,56230,4839,989,1781
"2011","West Devon","E07000047","Total",53553,47156,4290,709,1398
"2011","Christchurch","E07000048","Total",47752,41764,3933,686,1369
"2011","East Dorset","E07000049","Total",87166,76271,7447,1148,2300
"2011","North Dorset","E07000050","Total",68583,61309,5006,766,1502
"2011","Purbeck","E07000051","Total",44973,39281,3924,653,1115
"2011","West Dorset","E07000052","Total",99264,87308,8313,1237,2406
"2011","Weymouth and Portland","E07000053","Total",65167,57650,4739,966,1812
"2011","Cheltenham","E07000078","Total",115732,105199,7505,1111,1917
"2011","Cotswold","E07000079","Total",82881,74131,6408,822,1520
"2011","Forest of Dean","E07000080","Total",81961,72293,6296,1197,2175
"2011","Gloucester","E07000081","Total",121688,109564,7924,1468,2732
"2011","Stroud","E07000082","Total",112779,99932,9349,1293,2205
"2011","Tewkesbury","E07000083","Total",81943,73221,6114,939,1669
"2011","Mendip","E07000187","Total",109279,97441,8113,1284,2441
"2011","Sedgemoor","E07000188","Total",114588,101589,8361,1589,3049
"2011","South Somerset","E07000189","Total",161243,143762,11943,1988,3550
"2011","Taunton Deane","E07000190","Total",110187,98516,8026,1351,2294
"2011","West Somerset","E07000191","Total",34675,30282,2910,504,979
"2011","Isle of Anglesey","W06000001","Total",69751,61709,4677,1180,2185
"2011","Gwynedd","W06000002","Total",121874,109431,7266,1680,3497
"2011","Conwy","W06000003","Total",115228,101623,7813,1814,3978
"2011","Denbighshire","W06000004","Total",93734,82103,6470,1765,3396
"2011","Flintshire","W06000005","Total",152506,134863,10680,2487,4476
"2011","Wrexham","W06000006","Total",134844,119696,8853,2247,4048
"2011","Powys","W06000023","Total",132976,116822,10250,2084,3820
"2011","Ceredigion","W06000008","Total",75922,67319,5234,1144,2225
"2011","Pembrokeshire","W06000009","Total",122439,107244,9006,2128,4061
"2011","Carmarthenshire","W06000010","Total",183777,159788,13390,3485,7114
"2011","Swansea","W06000011","Total",239023,208674,17346,4495,8508
"2011","Neath Port Talbot","W06000012","Total",139812,119447,10380,3273,6712
"2011","Bridgend","W06000013","Total",139178,121259,9653,2763,5503
"2011","Vale of Glamorgan","W06000014","Total",126336,110761,9939,2050,3586
"2011","Cardiff","W06000015","Total",346090,311085,21671,4729,8605
"2011","Rhondda Cynon Taff","W06000016","Total",234410,204770,15671,4580,9389
"2011","Merthyr Tydfil","W06000024","Total",58802,51375,3779,1285,2363
"2011","Caerphilly","W06000018","Total",178806,156085,12254,3507,6960
"2011","Blaenau Gwent","W06000019","Total",69814,61062,4333,1611,2808
"2011","Torfaen","W06000020","Total",91075,79146,6714,1757,3458
"2011","Monmouthshire","W06000021","Total",91323,79832,7509,1433,2549
"2011","Newport","W06000022","Total",145736,129132,9548,2549,4507
