"date","geography","geography code","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling: Two household spaces; measures: Value","Dwelling Type: Shared dwelling: Three or more household spaces; measures: Value","Dwelling Type: All categories: Household spaces; measures: Value","Dwelling Type: Household spaces with at least one usual resident; measures: Value","Dwelling Type: Household spaces with no usual residents; measures: Value","Dwelling Type: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Flat, maisonette or apartment: In a commercial building; measures: Value","Dwelling Type: Caravan or other mobile or temporary structure; measures: Value"
"2011","Horsham","E07000227","Total",56516,56503,3,10,56551,54923,1628,21844,14985,9613,8293,929,492,395
"2011","Mid Sussex","E07000228","Total",58712,58699,5,8,58760,57409,1351,20422,17476,9465,8732,1667,727,271
"2011","Worthing","E07000229","Total",48311,48219,18,74,48690,47044,1646,10358,11079,10008,11540,4845,856,4
"2011","Bath and North East Somerset","E06000022","Total",75931,75821,24,86,76304,73515,2789,16524,21350,21318,9515,6351,951,295
"2011","Bournemouth","E06000028","Total",85381,85007,77,297,87016,82374,4642,26989,11494,5429,27388,13225,2058,433
"2011","Bristol, City of","E06000023","Total",188438,187980,127,331,189885,182747,7138,11164,49983,63331,40016,22074,3149,168
"2011","Cornwall","E06000052","Total",258883,258747,44,92,259346,230389,28957,97594,63331,59153,22414,9340,3220,4294
"2011","Isles of Scilly","E06000053","Total",1388,1387,1,0,1389,989,400,442,316,226,130,203,70,2
"2011","North Somerset","E06000024","Total",91694,91604,29,61,91954,88227,3727,30398,27476,14463,11352,6458,857,950
"2011","Plymouth","E06000026","Total",113069,112883,73,113,113528,109307,4221,12220,33245,37987,19272,9553,950,301
"2011","Poole","E06000029","Total",66502,66454,13,35,66646,63530,3116,26101,13566,8236,15536,2429,731,47
"2011","South Gloucestershire","E06000025","Total",109984,109967,9,8,110024,107538,2486,29001,37523,30140,10240,1580,816,724
"2011","Swindon","E06000030","Total",91128,91088,15,25,91227,88360,2867,19273,26622,29103,13833,1601,578,217
"2011","Torbay","E06000027","Total",63966,63852,33,81,64370,59010,5360,14088,15012,15143,11409,7208,1292,218
"2011","Wiltshire","E06000054","Total",201991,201936,17,38,202145,194194,7951,70890,62583,44213,17653,3561,1733,1512
"2011","East Devon","E07000040","Total",63881,63853,11,17,63956,59071,4885,24567,16399,12484,6067,3057,969,413
"2011","Exeter","E07000041","Total",50716,50619,20,77,51020,49242,1778,6926,13072,16707,10363,3002,571,379
"2011","Mid Devon","E07000042","Total",33972,33966,2,4,33990,32758,1232,13079,9700,7811,2133,720,358,189
"2011","North Devon","E07000043","Total",44424,44379,16,29,44559,40001,4558,17113,9744,10011,4043,2435,795,418
"2011","South Hams","E07000044","Total",43238,43232,5,1,43245,36858,6387,16624,11043,9417,3218,2019,602,322
"2011","Teignbridge","E07000045","Total",57720,57681,18,21,57816,54003,3813,21165,13883,13082,4874,2919,719,1174
"2011","Torridge","E07000046","Total",30698,30685,7,6,30729,27986,2743,13071,6608,7535,1992,905,412,206
"2011","West Devon","E07000047","Total",24677,24669,4,4,24697,22725,1972,10662,6197,5158,1549,626,324,181
"2011","Christchurch","E07000048","Total",23132,23129,1,2,23142,21475,1667,9399,4373,4073,4230,615,332,120
"2011","East Dorset","E07000049","Total",38970,38966,1,3,38979,37564,1415,23587,6095,3694,3937,426,293,947
"2011","North Dorset","E07000050","Total",30397,30388,5,4,30416,28670,1746,12316,8722,5935,2335,568,342,198
"2011","Purbeck","E07000051","Total",22129,22126,0,3,22140,19583,2557,8452,5354,4130,2649,879,316,360
"2011","West Dorset","E07000052","Total",49319,49309,6,4,49339,44386,4953,18231,11902,11148,5616,1331,592,519
"2011","Weymouth and Portland","E07000053","Total",30997,30980,4,13,31043,28535,2508,7094,6580,9487,5144,1928,504,306
"2011","Cheltenham","E07000078","Total",53122,53051,12,59,53430,50929,2501,9473,17169,11545,9940,4370,621,312
"2011","Cotswold","E07000079","Total",39944,39934,5,5,39968,36236,3732,14823,12051,8446,2931,863,499,355
"2011","Forest of Dean","E07000080","Total",36164,36157,5,2,36175,34167,2008,16257,12263,4833,1536,577,395,314
"2011","Gloucester","E07000081","Total",52722,52654,16,52,52946,50363,2583,10788,20726,11710,7237,1826,424,235
"2011","Stroud","E07000082","Total",49935,49921,5,9,49983,47794,2189,18222,16234,9521,4237,991,497,281
"2011","Tewkesbury","E07000083","Total",37057,37055,1,1,37065,35126,1939,12987,12671,6906,3146,335,306,714
"2011","Mendip","E07000187","Total",48675,48661,7,7,48719,46157,2562,15242,15287,11988,4100,1359,536,207
"2011","Sedgemoor","E07000188","Total",50879,50862,9,8,50921,48801,2120,16777,15758,11532,4708,1184,567,395
"2011","South Somerset","E07000189","Total",73375,73363,4,8,73410,69501,3909,24593,22543,17662,5763,1543,674,632
"2011","Taunton Deane","E07000190","Total",49220,49182,11,27,49321,46907,2414,14469,14083,12377,6071,1466,437,418
"2011","West Somerset","E07000191","Total",17571,17565,2,4,17594,15623,1971,6354,5179,3216,1504,831,329,181
"2011","Isle of Anglesey","W06000001","Total",34168,34156,10,2,34183,30594,3589,16382,7281,7620,1661,563,352,324
"2011","Gwynedd","W06000002","Total",61009,60983,11,15,61075,52473,8602,21308,14013,18920,3829,1582,910,513
"2011","Conwy","W06000003","Total",56106,56071,11,24,56199,51177,5022,19849,17191,8157,6420,3261,931,390
"2011","Denbighshire","W06000004","Total",42648,42615,16,17,42737,40546,2191,18786,13175,5689,3180,1173,600,134
"2011","Flintshire","W06000005","Total",65795,65776,9,10,65838,63781,2057,24660,27054,9285,3427,596,496,320
